ID,TITLE,CONTENTS,DATE,TARGET,LINK,REGION,ASK,CONTACT,ORIGIN,CATEGORY
1,독립유공자 등 단순수훈유족생계부조금(제수비 포함),독립유공자의 가족에게 유족생계비와 제수비를 지원합니다.,ALL,청년 | 중장년 | 노인,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=1,전국,국가보훈처 보훈상담센터,1577-0606,복지로,금융
2,고엽제특별지원,생계가 곤란한 고엽제 후유증 환자의 자녀가 선천적 장애로 어려움을 겪지 않도록 생계를 지원하여 재활의욕을 북돋웁니다.,ALL,청년 | 중장년 | 노인,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=2,전국,국가보훈처 보훈상담센터,1577-0606,복지로,금융
3,"민영교통시설이용(버스,내항여객선,KTX등)","국가를 위해 희생하고 공헌한 애국지사, 국가유공상이자 등의 예우 및 복지향상을 위해 민영버스 및 내항여객선, 열차 등 교통시설의 무임 또는 할인을 지원합니다.",ALL,청년 | 중장년 | 노인,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=3,전국,국가보훈처 보훈상담센터,1577-0606,복지로,금융
4,보훈병원진료,국가유공자와 그 유족이 건강한 생활을 유지하고 필요한 진료를 받을 수 있도록 지원합니다.,ALL,모두,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=4,전국,국가보훈처 보훈상담센터,1577-0606,복지로,의료
5,위탁병원진료,국가유공자와 그 유족 등이 건강한 생활을 유지하고 필요한 진료를 받을 수 있도록 지원합니다.,ALL,모두,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=5,전국,국가보훈처 보훈상담센터,1577-0606,복지로,의료
6,도서민 여객선 운임지원,교통 여건이 열악한 도서 지역 주민의 교통비 부담을 덜어 주고자 내항 여객선 운임을 지원하여 여건 개선을 도모합니다.,ALL,모두,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=6,전국,경기도 해양항만정책과,031-8008-4377,복지로,금융
7,어선원 및 어선 재해보상 보험,어업에 종사하는 어선원과 어선의 재해보상보험료를 지원하고 신속한 보상으로 어선원과 어선 소유자의 경제 활동을 보호합니다.,ALL,모두,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=7,전국,어선원 및 어선재해보상보험,02-2240-2114,복지로,금융
8,북한이탈주민 교육비 지원,북한에서 남한으로 이주한 주민이 안정적으로 정착하고 꿈을 실현할 수 있도록 교육비를 지원합니다.,ALL,모두,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=8,전국,통일부 북한이탈주민정착지원 사무소,031-670-9325,복지로,교육
9,북한이탈주민 사회보장 지원,북한에서 남한으로 이주한 주민의 안정적인 정착을 지원합니다.,ALL,모두,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=9,전국,통일부 정착지원과,02-2100-5925,복지로,금융
10,북한이탈주민 교육지원,북한에서 남한으로 이주한 청소년이 학교생활에 적응하여 우리 사회의 건강한 구성원이 될 수 있도록 돕습니다.,ALL,아동청소년,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=10,전국,남북하나재단 콜센터,1577-6635,복지로,교육
11,북한이탈주민 상담 지원,"북한에서 남한으로 이주한 주민이 풍요로운 삶을 누릴 수 있도록 주택, 취업, 교육, 의료 등을 체계적으로 상담합니다.",ALL,모두,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=11,전국,남북하나재단 콜센터,1577-6635,복지로,의료
12,북한이탈주민 자립자활지원,"북한에서 남한으로 이주한 주민의 자립과 자활을 위해 취업과 창업을 돕고, 영농활동으로 정착할 수 있도록 지원합니다.",ALL,모두,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=12,전국,통일부 정착지원과,02-2100-5922,복지로,고용
13,북한이탈주민 정착금 지원,북한에서 이주한 주민의 경제적 자립과 자활의지를 높이기 위해 정착금과 주거지원금 등을 지원합니다.,ALL,모두,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=13,전국,남북하나재단 콜센터,1577-6635,복지로,주거
14,북한이탈주민 주택알선 지원,북한에서 이주한 주민이 안정적으로 정착하고 자립할 수 있도록하나원의 교육을 수료한 후 주거 공간을 지원합니다.,ALL,모두,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=14,전국,북한이탈주민정착지원사무소,031-670-9327,복지로,주거
15,북한이탈주민 취업 지원,"북한이탈주민의 채용 확대와 장기 근속, 안정된 직업을 장려하기 위하여사업자와 북한이탈주민에게 취업장려금 등을 지원합니다.",ALL,모두,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=15,전국,통일부 북한이탈주민정착지원사무소 교육기획과,"031-670-9300 (내선1,2번)",복지로,고용
16,납북피해자 지원,납북피해자의 주거 여건 개선과 생활 안정을 지원합니다.,ALL,청년 | 중장년 | 노인,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=16,전국,통일부 이산가족과,02-2100-5917,복지로,주거
17,아동안전지킴이,퇴직 경찰이나 교사 등 전문인력이 퇴직 후 지역사회에서 의미 있는 활동을 할 수 있도록 지원합니다.,ALL,청년 | 중장년 | 노인,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=17,전국,경찰민원콜센터,182,복지로,고용
18,특수교육대상자 치료지원서비스,효과적인 교육을 위해 특수교육대상자의 다양한 치료를 지원합니다.,ALL,장애인,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=18,전국,empty,empty,복지로,의료
19,WEE 클래스 상담지원,"학교폭력 가해학생과 피해학생, 위기 학생, 학교 부적응학생이 정상적인 학교 생활을 할 수 있도록 진단, 상담, 치유 프로그램을 제공합니다.",ALL,아동청소년,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=19,전국,학생안전통합시스템,"043)5309-182, 184",복지로,보호안전
20,교육복지 우선지원사업,취약계층 학생이 밀집한 학교를 선정하여 집중 지원함으로써 교육·문화·복지 수준을 높이고 교육격차를 해소합니다.,ALL,아동청소년,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=20,전국,교육부 민원콜센터,02-6222-6060,복지로,교육
21,다문화·탈북학생 멘토링 지원,다문화 가정의 학생과 북한에서 남한으로 이주한 학생이 학교 생활에 잘 적응하여 기초학력이 향상되도록 대학생이 돕습니다.,ALL,아동청소년,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=21,전국,한국장학재단,02-2259-2093,복지로,교육
22,장애학생 정보격차 해소 지원,특수교육 대상자와 교사를 위해 교수·학습지원 콘텐츠를 개발하고 사이트를 운영하여 정보격차 해소를 지원합니다.,ALL,장애인,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=22,전국,국립특수교육원,041-537-1485,복지로,교육
23,탈북학생 교육지원,북한에서 남한으로 이주한 학생이 우리사회의 통합된 일원으로 적응하여통일 미래의 맞춤형 인재로 성장할 수 있도록 지원합니다.,ALL,아동청소년,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=23,전국,탈북청소년교육지원센터,043-530-9481,복지로,교육
24,가정위탁아동 상해보험료 지원,"가정위탁보호아동의 예상치 못한 질병과 안전사고에 대비해, 상해보험 가입 시 상해보험료를 지원함으로써 위탁가정의 심리적, 경제적 부담을 완화하고 가정위탁사업의 활성화를 도모합니다.",ALL,아동청소년,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=25,전국,empty,empty,복지로,의료
25,국민연금 출산크레딧,출산장려 및 연금수급기회 확대를 위해 둘째 이상 자녀를 출산한 국민연금 가입자에게 추가 혜택을 드립니다.,ALL,청년 | 중장년 | 노인,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=26,전국,국민연금공단,1355,복지로,금융
26,권역재활병원 공공재활프로그램 운영지원,장애 발생 후 공공재활프로그램을 제공하여보다 빠르게 사회복귀를 할 수 있도록 지원합니다.,ALL,장애인,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=27,전국,보건복지상담센터,129,복지로,의료
27,노숙인 등 복지지원,"노숙인의 권익을 보호하고, 원활한 사회복귀와 자립할 수 있는 힘을 길러주기 위하여 재활과 요양에 필요한 서비스를 지원합니다.",ALL,청년 | 중장년 | 노인,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?searchIntClId=04&searchCtgId=999&welInfSno=28,전국,보건복지상담센터,129,복지로,주거
