ID,TITLE,CONTENTS,DATE,TARGET,LINK,REGION,ASK,CONTACT,ORIGIN,CATEGORY,세로 막대형1
1,부산 청춘드림카 지원사업,부산 청춘드림카 지원사업,ALL,청년,http://busanjob.net,부산광역시,(재)부산경제진흥원 일자리지원팀,051-600-1784,부산시청,생활,
2,중소기업 취업연수지원,중소기업 취업연수지원,ALL,청년,http://www.work.go.kr/experi,부산광역시,고용노동부,1350,부산시청,고용,
3,강소기업탐방 프로그램,강소기업탐방 프로그램,ALL,청년,http://www.work.go.kr/experi,부산광역시,고용노동부,1350,부산시청,고용,
4,청년취업아카데미,청년취업아카데미,ALL,청년,http://www.hrd.go.kr,부산광역시,한국산업인력공단,052-714-8272,부산시청,고용,
5,청·장년실업해소 맞춤훈련,청·장년실업해소 맞춤훈련,ALL,청년 | 여성 | 중장년 | 장애인,https://www.busanjob.net/index.php?pCode=1468902594&pg=2,부산광역시,부산광역시 일자리창출과,051-888-4424,부산시청,고용,
6,부산시 취업연수생 고용사업,부산시 취업연수생 고용사업,ALL,청년,https://www.busanjob.net/index.php?pCode=1468902594&pg=2,부산광역시,부산광역시 일자리창출과,051-888-4412,부산시청,고용,
7,건설일용근로자 기능향상 지원,건설일용근로자 기능향상 지원,ALL,청년 | 여성 | 중년,http://www.cwma.or.kr,부산광역시,건설근로자공제회,02-519-2121,부산시청,고용,
8,고용디딤돌 프로그램,고용디딤돌 프로그램,ALL,청년,https://ccei.creativekorea.or.kr/,부산광역시,창조경제혁신센터,051-749-8946,부산시청,고용,
9,산재보험급여,산재보험급여,ALL,청년 | 여성 | 중년,http://www.kcomwel.or.kr,부산광역시,근로복지공단,1588-0075,부산시청,의료,
10,국가기간ㆍ전략산업직종 훈련,국가기간ㆍ전략산업직종 훈련,ALL,청년,http://www.hrd.go.kr,부산광역시,고용노동부,1350,부산시청,고용,
11,내일배움카드(실업자),내일배움카드(실업자),ALL,청년 | 여성 | 중년,http://www.hrd.go.kr,부산광역시,고용노동부,1350,부산시청,고용,
12,취업사관학교 운영 지원,취업사관학교 운영 지원,ALL,청년,http://www.hrdkorea.or.kr,부산광역시,한국산업인력공단,1644-8000,부산시청,고용,
13,직업훈련 생계비 대부,직업훈련 생계비 대부,ALL,청년 | 여성 | 중년 | 노인 | 장애인,http://www.kcomwel.or.kr,부산광역시,근로복지공단,1588-0075,부산시청,금융,
14,모성보호 육아 지원,모성보호 육아 지원,ALL,여성,http://www.hrd.go.kr,부산광역시,고용노동부,1350,부산시청,금융,
15,내일배움카드(근로자),내일배움카드(근로자),ALL,청년 | 여성 | 중년 | 노인 | 장애인,http://www.hrd.go.kr,부산광역시,고용노동부,1350,부산시청,고용,
