ID,TITLE,CONTENTS,DATE,TARGET,LINK,REGION,ASK,CONTACT,ORIGIN,CATEGORY
1,B형간염 예방접종,B형간염 예방접종,ALL,모두,http://www.bsjunggu.go.kr/health/index.junggu?menuCd=DOM_000000602004001000,중구,보건과,051-600-4831,보건소,의료
2,A형간염 예방접종,A형간염 예방접종,ALL,모두,http://www.bsjunggu.go.kr/health/index.junggu?menuCd=DOM_000000602004001000,중구,보건과,051-600-4831,보건소,의료
3,장티푸스 예방접종,장티푸스 예방접종,ALL,모두,http://www.bsjunggu.go.kr/health/index.junggu?menuCd=DOM_000000602004001000,중구,보건과,051-600-4831,보건소,의료
4,물리치료실 이용,"전기치료 : 저주파, 중주파 치료기 등 주파수를 이용하여 염증이나 통증을 완화 온열치료 : 핫팩이나 온열로써 국소부위의 통증완화 광선치료 : 적외선이나 극초단파같은 광선을 이용하여 치료 두타베드 : 전신 두드림으로 근육이완 및 근육맛사지효과 재활기구 : 실내계단, 좌식자전거, 종합운동기, 발란스볼, 평행봉, 상지에르고미터, 하지에르고미터 등 ",ALL,모두,http://www.bsjunggu.go.kr/health/index.junggu?menuCd=DOM_000000602005000000,중구,보건과,051-600-4831,보건소,의료
5,B형간염 예방접종,B형간염 예방접종,ALL,모두,http://www.bsseogu.go.kr/health/index.bsseogu?menuCd=DOM_000000402003000000,서구,보건행정과,051-240-4870,보건소,의료
6,장티푸스 예방접종,장티푸스 예방접종,ALL,모두,http://www.bsseogu.go.kr/health/index.bsseogu?menuCd=DOM_000000402003000000,서구,보건행정과,051-240-4870,보건소,의료
7,결핵진료,"유증상자 상담 및 확인 - 객담검사, 흉부 엑스선 검사 및 담당의사 상담",ALL,모두,http://www.bsseogu.go.kr/health/index.bsseogu?menuCd=DOM_000000402002000000,서구,보건행정과,051-240-4870,보건소,의료
8,물리치료실 이용,"전기치료 : 저주파, 중주파 치료기 등 주파수를 이용하여 염증이나 통증을 완화 온열치료 : 핫팩이나 온열로써 국소부위의 통증완화 재활기구 : 실내계단, 종합운동기, 발란스볼, 평행봉, 폼롤러, 에어쿠션 등",ALL,모두,http://www.bsseogu.go.kr/health/index.bsseogu?menuCd=DOM_000000402004000000,서구,보건행정과,051-240-4870,보건소,의료
9,물리치료실 이용,"전기치료 : 저주파, 중주파 치료기 등 주파수를 이용하여 염증이나 통증을 완화 온열치료 : 핫팩이나 온열로써 국소부위의 통증완화 재활기구 : 실내계단, 종합운동기, 발란스볼, 평행봉, 폼롤러, 에어쿠션 등",ALL,모두,https://www.bsdonggu.go.kr/health/index.donggu?menuCd=DOM_000000403001001000,동구,물리치료실,051-440-6525,보건소,의료
10,B형간염 예방접종,B형간염 예방접종,ALL,모두,https://www.bsdonggu.go.kr/health/index.donggu?menuCd=DOM_000000403003000000,동구,예방접종실,051-440-6509,보건소,의료
