ID,TITLE,CONTENTS,DATE,TARGET,LINK,REGION,ASK,CONTACT,ORIGIN,CATEGORY
1,ICT기반 정보시스템 보안 엔지니어 양성,전문인력 양성을 위해 기초부터 실무까지의 교육을 이루어지며 현장업무에 바로 수행할수 있도록 개발자 양성과정,2018-09-13 ~ 2019-04-12,모두,http://www.busanit.ac.kr/index.aspx,"부산 부산진구 중앙대로 708 SC제일은행 4, 5층",부산직업전문학교,051-753-5600,국비지원,교육
2,스마트콘텐츠UI/UX디자인,전문인력 양성을 위해 기초부터 실무까지의 교육을 이루어지며 현장업무에 바로 수행할수 있도록 개발자 양성과정,2018-10-01 ~ 2019-03-01,모두,http://www.busanit.ac.kr/index.aspx,"부산 부산진구 중앙대로 708 SC제일은행 4, 5층",부산직업전문학교,051-753-5600,국비지원,교육
3,빅데이터 응용SW개발자 양성,전문인력 양성을 위해 기초부터 실무까지의 교육을 이루어지며 현장업무에 바로 수행할수 있도록 개발자 양성과정,2018-10-01 ~ 2019-03-20,모두,http://www.busanit.ac.kr/index.aspx,"부산 부산진구 중앙대로 708 SC제일은행 4, 5층",부산직업전문학교,051-753-5600,국비지원,교육
4,웹크롤링을 활용한 자바(Java)프레임워크개발,전문인력 양성을 위해 기초부터 실무까지의 교육을 이루어지며 현장업무에 바로 수행할수 있도록 개발자 양성과정,2018-09-10 ~ 2019-04-02,모두,http://www.busanit.ac.kr/index.aspx,"부산 부산진구 중앙대로 708 SC제일은행 4, 5층",부산직업전문학교,051-753-5600,국비지원,교육
5,K-패션디자인실무양성과정(아두이노활용),산업현장에 적합한 패션디자이너를 양성하여 패션관련업체 취업을 목표로 한다..,2018-12-19 ~ 2019-05-31,모두,http://www.dmrb.kr,부산 동래구 복천동295-9번지 동림빌딩67층,부산패션디자인학원,051-554-8603,국비지원,교육
6,CAD/CAM응용 CNC가공양성,"기계가공을 위한 가공기술의 기획,설계,구현에 대한 실습과 CNC프로그래밍 및 도면해독, 가공법등의 능력을 함양하여 바로 현장 투입가능한 전문기술인력 양성을 목표로 합니다.",2018-09-10 ~ 2019-02-28,모두,http://www.busanit.ac.kr,부산 수영구 광안4동776-18번지 부산IT직업전문학교,부산IT직업전문학교,051-631-1175,국비지원,교육
7,품질경영 (QM/QC) 관리자 양성,품질경영기사 대비반을 운영합니다.,2018-09-19 ~ 2018-02-21,모두,http://www.mitto.co.kr,부산 부산진구 부전동 241-4번지 동일빌딩 4~5층,미토평생교육아카데미,051-808-0301,국비지원,교육
8,국제 물류관리사 및 국제무역사,국제 물류관리사 및 국제 무역사 자격시험을 준비합니다.,2018-09-18 ~ 2019-02-20,모두,http://www.mitto.co.kr,부산 부산진구 부전동 241-4번지 동일빌딩 4~5층,미토평생교육아카데미,051-818-5112,국비지원,교육
9,"ITQ(아래한글,엑셀,파워포인트) 자격증 취득","정보기술자격(ITQ)시험은 Information Technology Qualification의 약자로 정보화시대의 기업, 기관, 단체 구성원들에 대한 정보기술능력 또는 정보기술 활용능력을 객관적으로 평가하여 정보기술 관리 및 실무능력 수준을 지수화 및 등급화하여 국가에서 공식적으로 인증하는 시험으로서, 산업인력의 정보경쟁력 강화를 통한 산업의 정보화를 추구하며 나아가서는 국가의 정보화를 촉진시키기 위한 목적으로 시행하는 국가공인자격을 말합니다. ★ ITQ(엑셀) 교육은 컴퓨터활용능력2급 시험도 준비할 수 있습니다.",2018-08-21 ~ 2018-10-24,모두,http://www.mitto.co.kr,부산 부산진구 부전동 241-4번지 동일빌딩 4~5층,미토평생교육아카데미,051-808-0301,국비지원,교육
10,직업상담사2급 자격증취득과정,"직업상담원은 구직자의 구직표를 정확하게 작성하도록 도와주며, 가장 적합한 직업을 찾아주고 적성, 흥미검사 등을 실시하여 구직자의 적성과 흥미에 알맞은 직업정보를 제공합니다. 또한 청소년, 여성, 중고령자, 실업자 등을 위한 직업지도 프로그램 개발과 운영을 하고 취업이 곤란한 구직자(장애인, 고령자)에게 보다 많은 취업기회를 제공합니다. 그리고 구인난을 겪고 있는 기업에게 다양한 인력을 소개하기 위하여 구인처 및 구직자를 개척하기도 합니다.",2018-09-04 ~ 2018-12-05,모두,http://www.mitto.co.kr,부산 부산진구 부전동 241-4 번지 동일빌딩 4층,미토평생교육아카데미,051-808-0301,국비지원,교육
