ID,TITLE,CONTENTS,DATE,TARGET,LINK,REGION,ASK,CONTACT,ORIGIN,CATEGORY
1,2018 백운포 달맞이축제,"무대공연, 부대행사, 달집태우기 등",2018-03-02,모두,www.bsnamgu.go.kr/,남구,남구 평생교육과,051-607-4304,공공데이터포털,문화
2,영도다리축제,"주제공연, 영도대교 도개 이벤트, 도개해상 퍼레이드, 영도역사 주제거리, 영도관광투어, 영도스토리 시민퍼레이드, 기타 공연 및 참여행사 등",2018-09-07~2018-09-09,모두,https://www.yeongdo.go.kr/,영도구,영도구 문화관광과,051-419-4064,공공데이터포털,문화
3,영도구룡축제,"각종 문화공연, 구룡가요제, 벚꽃길 걷기대회, 전시, 체험부스 운영 등",2018-03-31~2018-04-01,모두,https://www.yeongdo.go.kr/,영도구,영도구 문화관광과,051-419-4064,공공데이터포털,문화
4,태종대 수국축제,"각종 문화공연, 냉면 시식회, 수국꽃 사진전, 포토존 운영 등",2018-06-30~2018-08-07,모두,https://www.yeongdo.go.kr/,영도구,영도구 문화관광과,051-419-4064,공공데이터포털,문화
5,동삼풍어제,"지신밟기, 바라품, 개회식, 살풀이등 풍어제, 12계단 작두",2018-04-17,모두,https://www.yeongdo.go.kr/,영도구,영도구 문화관광과,051-419-4064,공공데이터포털,문화
6,제18회광안리어방축제,"어방그물끌기 한마당, 진두어화, 경상좌수사행렬, 어방민속마을 등 5개분야 30종목",2018-04-27~2018-04-29,모두,www.suyeong.go.kr/suyeong/main.asp,수영구,수영구 총무과,051-610-4304,공공데이터포털,문화
7,동래읍성역사축제,"동래부사행차 길놀이,동래성 전투 실경 뮤지컬,동래세가닥줄다리기,동래온천용왕제길놀이,동래장터 체험 등",2018-10-12~2018-10-14,모두,www.suyeong.go.kr/suyeong/main.asp,동래구,동래구 평생교육과,051-550-4304,공공데이터포털,문화
8,조선통신사 축제,"광장행사, 조선통신사 평화의 행렬, 조선통신사의 밤, 한일거리예술공연 등",2018-05-04~2018-05-06,모두,http://www.bsjunggu.go.kr/tour/index.junggu?menuCd=DOM_000000203003000000,중구,부산광역시,051-600-4065,공공데이터포털,문화
9,광복로연등문화제,장엄등 및 거리등 전시,2018-05-11~2018-05-30,모두,https://www.bsjunggu.go.kr/,중구,부산중구불교연합회,051-253-8686,공공데이터포털,문화
10,보수동책방골목문화축제,책읽는마을 심포지엄/공연행사/체험 등,2018-10-19~2018-10-21,모두,http://www.bosubook.com/,중구,보수동 책방골목 번영회,051-253-7220,공공데이터포털,문화
11,부산국제영화제 전야제,핸드프린팅 개봉/축하공연,2018-10-03~2018-10-13,모두,http://www.biff.kr,중구,(사) 부산국제영화제,051-709-2091,공공데이터포털,문화
12,부산자갈치축제,"개막식, 길놀이, 체험프로그램등",2018-10-11~2018-10-14,모두,http://www.ejagalchi.com/,중구,(사)부산자갈치문화관광축제위원회,051-243-9363,공공데이터포털,문화
13,영도다리 만남의 축제,"축하공연, 소방정분수쇼 등 시민과 관객을 위한 문화행사",2018-11-01,모두,https://www.bsjunggu.go.kr/,중구,부산중구청,051-600-4066,공공데이터포털,문화
14,부산크리스마스트리문화축제,일루미네이션 크리스마스트리장식/성탄음악행사/시민참여행사/점등식 등,2018-12-01~2019-01-06,모두,http://www.bctf.kr,중구,(사) 부산기독교총연합회,051-464-0112,공공데이터포털,문화
15,제7회 북페스티벌,"북콘서트, 전시행사, 체험행사, 부대행사",2017-10-21,모두,http://tour.busanjin.go.kr,부산진구,부산광역시 부산진구청,051-605-4632,공공데이터포털,문화
16,제7회 서면 메디컬 스트리트 축제,"의료체험, 의료나눔, 문화공연, 한류체험, SMS Week특별 할인행사",2017-10-27,모두,http://www.smsmeditour.go.kr,부산진구,SMS 의료관광협의회,051-605-6021,공공데이터포털,문화
17,제18회 사상전통달집놀이,사상전통달집 놀이,2018-03-02,모두,http://www.sasang.go.kr/index.sasang?menuCd=DOM_000000604001000000,사상구,사상문화원,051-310-4064,공공데이터포털,문화
18,제10회 삼락벚꽃축제,삼락벚꽃축제,2018-04-01,모두,https://www.sasang.go.kr/index.sasang,사상구,삼락동,051-310-3002,공공데이터포털,문화
