ID,TITLE,CONTENTS,DATE,TARGET,LINK,REGION,ASK,CONTACT,ORIGIN,CATEGORY
1,청년 디딤돌 카드,구직활동을 하는 청년층의 경제적 부담을 완화하여 취업을 위한 구직활동에 전념할 수 있도록 디딤돌 체크카드 지원,2018.09.01-2018.12.01,청년,http://www.busan.go.kr/young/job11,부산광역시,부산청년 홈페이지,051-120,부산이 청년에게,고용
2,정장 대여서비스(드림옷장),구직활동에 어려움을 겪고 있는 청년들에게 면접 정장 무료 대여 서비스를 지원하여 취업부담 경감 및 성공취업 지원,2018-03-03~,청년,http://www.busan.go.kr/young/job02,부산광역시,부산청년 홈페이지,051-121,부산이 청년에게,고용
3,취업준비땅,지역대학생 및 취업준비생의 진로탐색 및 설계 지원 프로그램 앱을 통해 자기주도적 취업역량 향상 및 일자리 미스매치 해소 완화,ALL,청년,http://www.busan.go.kr/young/job04,부산광역시,부산청년 홈페이지,051-122,부산이 청년에게,고용
4,청년 해외취업 지원,당면한 청년 고용절벽 해소를 위해 국내일자리의 한계를 극복하고 미취업 청년들에게 해외취업 기회를 확대하여 해외일자리 영토 확대,ALL,청년,http://www.busan.go.kr/young/job05,부산광역시,부산청년 홈페이지,051-123,부산이 청년에게,고용
5,창업기업 인턴지원,초기 창업기업의 인건비 부담해소를 통한 기업 경쟁력 강화 미취업 청년층 및 기술직 은퇴자들에게 일자리 제공 ,ALL,청년,http://www.busan.go.kr/young/job06,부산광역시,부산청년 홈페이지,051-124,부산이 청년에게,고용
6,굿알바,"근로 사각지대인 아르바이트 청년들의 근로 실태조사 및 근로조건, 인식개선을 통하여 주체적 문제 해결능력 향상 지원",2018.01.01-2018.12.31,청년,http://www.busan.go.kr/young/job07,부산광역시,부산청년 홈페이지,051-125,부산이 청년에게,고용
7,취업지원,empty,ALL,청년,http://www.busan.go.kr/young/job08,부산광역시,부산청년 홈페이지,051-126,부산이 청년에게,고용
8,창업지원,empty,ALL,청년,http://www.busan.go.kr/young/job09,부산광역시,부산청년 홈페이지,051-127,부산이 청년에게,고용
9,머물자리론,목돈 마련이 어려운 청년의 안정적인 주거지원을 위해 임차보증금 대출과 이자를 지원하여 청년의 주거생활 안정에 기여,ALL,청년,http://www.busan.go.kr/young/house11,부산광역시,부산청년 홈페이지,051-128,부산이 청년에게,주거
10,햇살둥지,"빈집(공가)의 장기간 방치로 인한 폐가화를 사전 방지하고, 공가를 새로운 주거공간으로 재창출하여 지방학생과 신혼부부 및 저소득 서민 등 취약 계층의 주거비 부담 경감 ",수시모집,청년,http://www.busan.go.kr/young/house05,부산광역시,부산광역시 도시정비과,051-129,부산이 청년에게,주거
11,행복주택,"사회초년생, 대학생, 신혼부부 및 산업단지 젊은 계층의 주거난 해소와 청년층 유입을 통한 활기찬 도시공간을 창출",2018.01.01-2022.12.31,청년,http://www.busan.go.kr/young/house02,부산광역시,부산청년 홈페이지,051-130,부산이 청년에게,주거
12,드림아파트,"대중교통이 편리한 상업지역에 규제 완화를 통해, 사회초년생 등 청년층에게 저렴한 임대주택을 공급하여 주거문화 안정 지원 ",ALL,청년,http://www.busan.go.kr/young/house03,부산광역시,부산청년 홈페이지,051-131,부산이 청년에게,주거
13,세어하우스,시가 보유한 임대주택을 활용하여 부산형 쉐어하우스 공급으로 청년의 주거난 해소와 유입을 통한 활기찬 도시공간 창출,2015.01.01-2018.12.31,청년,http://www.busan.go.kr/young/house04,부산광역시,부산청년 홈페이지,051-132,부산이 청년에게,주거
14,부산청년 우리집,"공유경제 촉진사업의 일환으로서, 부산지역의 대학생과 취업준비생의 안정적인 주거생활을 지원하고, 나홀로 어르신에게는 새로운 가족관계의 형성과 임대수익을 통한 자립 강화를 도모하는 사업입니다.",2018-02-01~,청년,http://www.busan.go.kr/young/house06,부산광역시,부산청년 홈페이지,051-133,부산이 청년에게,주거
15,청년 부비론,"학자금 및 생활비 대출로 인하여 채무불이행자로 전락, 사회진입에 어려움을 겪고 있는 청년들을 위한 저금리 융자로 신용회복 지원",2015.01.01-2022.12.31,청년,http://www.busan.go.kr/young/life01,부산광역시,부산청년 홈페이지,051-134,부산이 청년에게,금융
16,청년건강지킴이,학업 및 아르바이트 등으로 건강관리에 어려움을 겪고 있는 저소득층 청년의 질병예방 및 건강관리로 청년 건강증진에 기여,ALL,청년,http://www.busan.go.kr/young/life02,부산광역시,부산청년 홈페이지,051-135,부산이 청년에게,금융
17,청년희망날개통장,저소득 근로 청년을 대상으로 본인 저축액에 근로소득 장려금을 지원하여 청년들의 근로의욕 고취와 자립기반 조성을 지원 ,ALL,청년,http://www.busan.go.kr/young/life03,부산광역시,부산청년 홈페이지,051-136,부산이 청년에게,금융
18,대학생 기숙사비 지원,"수도권 대비 지역대학 경쟁력 약화에 따른 지역대학 역량강화 지원 및 우수인재의 유치와 지역정주환경 조성을 위하여 ‘17년 3월 개관하는 “부산행복연합기숙사” 일부를 장기임대하여, 입소자 기숙사비 지원",ALL,청년,http://www.busan.go.kr/young/life04,부산광역시,부산청년 홈페이지,051-137,부산이 청년에게,금융
19,학자금 대출 이자지원,수도권 대비 경쟁력이 약한 지역 대학생들에게 재학기간 중 대출한 학자금에 대한 이자 지원대책 마련,ALL,청년,http://www.busan.go.kr/young/life05,부산광역시,부산청년 홈페이지,051-138,부산이 청년에게,금융
20,청년 금융 특강,미래 성장 경쟁력인 부산 청년들의 금융지식 부족으로 인한 신용·부채관리 실패 및 금융사기 피해방지 등 금융교육 인식 제고,ALL,청년,http://www.busan.go.kr/young/life08,부산광역시,부산청년 홈페이지,051-139,부산이 청년에게,금융
21,청년 문화활동 지원,청년문화 활성화를 위한 다양한 시책을 발굴하고 체계적으로 추진하여 도시의 창의성과 다양성을 제고하고 활기찬 청년문화도시 조성,2018.01.01-2018.10.31,청년,http://www.busan.go.kr/young/culture01,부산광역시,부산청년 홈페이지,051-140,부산이 청년에게,문화
22,청년 연출가 작품제작 지원,지역 공연문화예술계의 창작의욕 고취를 통해 지역공연문화 활성화 및 우수 공연문화콘텐츠 발굴을 통한 부산발 문화콘텐츠 개발,2018.01.01-2018.12.31,청년,http://www.busan.go.kr/young/culture02,부산광역시,부산청년 홈페이지,051-141,부산이 청년에게,문화
